ref	text	parallel	translation
Mt.11.7	at þaim þan afgaggandam dugann Iesus qiþan þaim manageim bi Iohannen ƕa usiddjeduþ ana auþida saiƕan raus fram winda wagidata		
Mt.11.8	akei ƕa usiddjeduþ saiƕan mannan hnasqjaim wastjom gawasidana sai þaiei hnasqjaim wasidai sind in gardim þiudane sind		
Mt.11.9	akei ƕa usiddjeduþ saiƕan praufetu jai qiþa izwis jah managizo praufetau		
Mt.11.10	sa ist auk bi þanei gameliþ ist sai ik insandja aggilu meinana faura þus saei gamanweiþ wig þeinana faura þus		
Mt.11.11	amen qiþa izwis ni urrais in baurim qinono maiza Iohanne þamma daupjandin iþ sa minniza in þiudangardjai himine maiza imma ist		
Mt.11.12	framuh þan þaim dagam Iohannis þis daupjandins und hita þiudangardi himine anamahtjada jah anamahtjandans frawilwand þo		
Mt.11.13	allai auk praufeteis jah witoþ und Iohanne fauraqeþun		
Mt.11.14	jah jabai wildedeiþ miþniman sa ist Helias saei skulda qiman		
Mt.11.15	saei habai ausona hausjandona gahausjai		
Mt.11.16	ƕe nu galeiko þata kuni galeik ist barnam sitandam in garunsim jah wopjandam anþar anþaris		
Mt.11.17	jah qiþandam swiglodedum izwis jah ni plinsideduþ hufum jah ni qainodeduþ		
Mt.11.18	qam raihtis Iohannes nih matjands nih drigkands jah qiþand unhulþon habaiþ		
Mt.11.19	qam sa sunus mans matjands jah drigkands jah qiþand sai manna afetja jah afdrugkja motarje frijonds jah frawaurhtaize jah uswaurhta gadomida warþ handugei fram barnam seinaim		
Mt.11.20	þanuh dugann idweitjan baurgim in þaimei waurþun þos managistons mahteis is þatei ni idreigodedun sik		
Mt.11.21	wai þus Kaurazein wai þus Beþsaïdan unte iþ waurþeina in Twre jah Seidone landa mahteis þos waurþanons in izwis airis þau in sakkau jah azgon idreigodedeina		
Mt.11.22	sweþauh qiþa izwis Twrim jah Seidonim sutizo wairþiþ in daga stauos þau izwis		
Mt.11.23	jah þu Kafarnaum þu und himin ushauhida dalaþ und halja galeiþis unte jabai in Saudaumjam waurþeina mahteis þos waurþanons in izwis aiþþau eis weseina und hina dag		
Mt.11.24	sweþauh qiþa izwis þatei airþai Saudaumje sutizo wairþiþ in daga stauos þau þus		
Mt.11.25	inuh jainamma mela andhafjands		
Mt.25.38	ƕanuh þan þuk seƕum gast jah galaþodedum aiþþau naqadana jah wasidedum		
Mt.25.39	ƕanuh þan þuk seƕum siukana aiþþau in karkarai jah atiddjedum du þus		
